,,,,,,,,,,
,WORK,STARTER,3 ENERGY,4 ENERGY,5 ENERGY,6 ENERGY,NOTES,,,"\= there are hearts impacted, check comments"
,,HERE 3 ENERGY,"$15,000",NULL,NULL,NULL,,,,"\= special feature, tied to another stat or modifier"
,,,,,,,,,,
,,,,,,,,,,
,TAXES,STARTER,0 ENERGY,1 ENERGY,2 ENERGY,3 ENERGY,NOTES,,,
,,HERE 0 ENERGY,$0,NULL,NULL,NULL,,,,
,,,,,,,,,,
,,,,,,,,,,
NEED,RENT + UTILITIES,STARTER,0 ENERGY,1 ENERGY,2 ENERGY,3 ENERGY,NOTES,,,
,,,"-$4,000",NULL,NULL,NULL,,,,
,,,"-$3,500",NULL,NULL,NULL,,,,
,,,"-$3,000",NULL,NULL,NULL,,,,
,,,"-$2,500",NULL,NULL,NULL,,,,
,,,"-$2,000",NULL,NULL,NULL,,,,
,,,"-$1,500",NULL,NULL,NULL,,,,
,,,"-$1,000",NULL,NULL,NULL,,,,
,,HERE 0 ENERGY,-$200,NULL,NULL,NULL,living at home...,,,
,,,,,,,,,,
,,,,,,,,,,
NEED,GROCERIES + COOKING @ HOME,STARTER,0 ENERGY,1 ENERGY,2 ENERGY,3 ENERGY,NOTES,,,
,,,-$400,-$250,-$200,NULL,paying my fair share of groceries!,,,
,,,-$300,-$200,-$150,NULL,paying my fair share of groceries!,,,
,,,-$150,-$100,-$50,NULL,paying my fair share of groceries!,,,
,,HERE 0 ENERGY,-$50,-$50,-$50,NULL,paying my fair share of groceries!,,,
,,,,,,,,,,
,,,,,,,,,,
WANT,DINING OUT,STARTER,0 ENERGY,1 ENERGY,2 ENERGY,3 ENERGY,NOTES,,,
,,HERE 0 ENERGY,"-$2,300","-$2,000",NULL,NULL,dining out 2.5x a day,,,
,,,-$900,-$700,NULL,NULL,dining out 1x a day,,,
,,,-$300,-$200,NULL,NULL,dining out 2.5x a week,,,
,,,-$120,-$100,NULL,NULL,dining out 1x a week,,,
,,,,,,,,,,
,,,,,,,,,,
NEED,HEALTHCARE,STARTER,0 ENERGY,1 ENERGY,2 ENERGY,3 ENERGY,NOTES,NOTES,,
,,,-$300,-$200,NULL,NULL,0.75x modifier on healthcare costs!,working out feels good!,,
,,HERE 0 ENERGY,-$200,-$150,NULL,NULL,,working out feels good!,,
,,,-$150,-$100,NULL,NULL,2x modifier on healthcare costs...,working out feels good!,,
,,,,,,,,,,
,,,,,,,,,,
WANT,TRAVEL + VACATIONS + EXPERIENCES,STARTER,0 ENERGY,1 ENERGY,2 ENERGY,3 ENERGY,NOTES,,,
,,,"-$1,000",-$800,NULL,NULL,,,,
,,HERE 0 ENERGY,-$300,-$200,NULL,NULL,,,,
,,,-$100,-$50,NULL,NULL,,,,
,,,,,,,,,,
,,,,,,,,,,
NEED,TRANSIT + CAR MAINTENANCE + GAS,STARTER,0 ENERGY,1 ENERGY,2 ENERGY,3 ENERGY,NOTES,,,
,,,-$700,NULL,NULL,NULL,dream car! insurance is expensive..,,,
,,,-$500,NULL,NULL,NULL,"reliable, classic, safe car",,,
,,HERE 0 ENERGY,-$300,NULL,NULL,NULL,"cheap car, 2x mod on maintence :(",,,
,,,-$100,NULL,NULL,NULL,"no car, just bussin~",,,
,,,,,,,,,,
WANT,SHOPPING,STARTER,0 ENERGY,1 ENERGY,2 ENERGY,3 ENERGY,NOTES,,,
,,,"-$1,000",-$800,NULL,NULL,,,,
,,HERE 0 ENERGY,-$700,-$500,NULL,NULL,,,,
,,,-$450,-$300,NULL,NULL,,,,
,,,-$200,-$100,NULL,NULL,"still gotta buy SOME things, like toiletries...",,,
,,,,,,,,,,
NEED,TRADE SCHOOL EDUCATION,STARTER,0 ENERGY,1 ENERGY,2 ENERGY,3 ENERGY,NOTES,,,
,,HERE 0 ENERGY,-$400,-$300,,,spend energy to graduate faster! finish in 2 years instead of 3,,,
,,,-$250,-$200,,,spend energy to graduate faster! finish in 2 years instead of 3,,,
,,,,,,,,,,
WANT,PET (CAT),STARTER,0 ENERGY,1 ENERGY,2 ENERGY,3 ENERGY,NOTES,NOTES,,
,,HERE 0 ENERGY,$0,NULL,NULL,NULL,"food, toys, apt pet fee",no cat,,
,,MODIFIER,-$125,,,,,rescued from shelter,,
,,MODIFIER,-$83,,,,,purchased from breeder,,
